Size,Dot,MatrixTimesVector
1000,1.9e-6,0.000382
1000,1.9e-6,0.000427
1000,7.0e-7,0.0006456
1000,7.0e-7,0.0004695
1000,7.0e-7,0.0005357
1000,6.0e-7,0.0004604
1000,7.0e-7,0.0004661
1000,1.1e-6,0.0004462
1000,1.1e-6,0.000495
1000,9.0e-7,0.000497
2000,7.0e-7,0.0013088
2000,1.1e-6,0.0017201
2000,1.3e-6,0.0012287
2000,1.6e-6,0.0013885
2000,1.1e-6,0.0012839
2000,1.2e-6,0.0015108
2000,1.1e-6,0.0012635
2000,1.1e-6,0.0013254
2000,1.2e-6,0.0012627
2000,1.1e-6,0.0014531
3000,1.4e-6,0.0029926
3000,1.7e-6,0.0030681
3000,2.6e-6,0.0030827
3000,7.9e-6,0.0026353
3000,1.9e-6,0.002872
3000,1.4e-6,0.0024583
3000,1.9e-6,0.0028911
3000,1.8e-6,0.0025455
3000,1.5e-6,0.0028777
3000,1.4e-6,0.0024927
4000,1.8e-6,0.0052728
4000,1.9e-6,0.0042743
4000,1.8e-6,0.0042012
4000,1.7e-6,0.0041916
4000,1.7e-6,0.0040953
4000,1.7e-6,0.0040412
4000,1.6e-6,0.0042241
4000,1.7e-6,0.0041001
4000,1.8e-6,0.004097
4000,1.8e-6,0.0042899
5000,2.0e-6,0.006811
5000,2.0e-6,0.0075574
5000,2.0e-6,0.0065285
5000,1.8e-6,0.0063125
5000,2.3e-6,0.006389
5000,1.9e-6,0.0066005
5000,1.9e-6,0.0065503
5000,1.9e-6,0.0065561
5000,2.0e-6,0.0074028
5000,1.8e-6,0.0065415
6000,1.8e-6,0.0091545
6000,2.4e-6,0.0094337
6000,1.9e-6,0.0094029
6000,1.89e-5,0.0102093
6000,1.9e-6,0.0092927
6000,1.9e-6,0.0090445
6000,2.0e-6,0.009494
6000,1.8e-6,0.0092021
6000,1.9e-6,0.0090094
6000,2.2e-6,0.0090608
7000,2.4e-6,0.0127136
7000,2.2e-6,0.0127947
7000,2.2e-6,0.0123948
7000,2.1e-6,0.012633
7000,2.1e-6,0.0123535
7000,2.2e-6,0.0127048
7000,2.3e-6,0.0126883
7000,2.4e-6,0.0122868
7000,1.57e-5,0.0122517
7000,2.5e-6,0.012491
8000,2.7e-6,0.0156218
8000,2.9e-6,0.0165126
8000,3.0e-6,0.0157209
8000,3.0e-6,0.015493
8000,3.2e-6,0.0155992
8000,2.9e-6,0.0160139
8000,3.3e-6,0.0175747
8000,2.8e-6,0.0157099
8000,3.0e-6,0.0164633
8000,3.0e-6,0.0154534
9000,3.0e-6,0.0212791
9000,2.8e-6,0.022838
9000,2.7e-6,0.021222
9000,2.8e-6,0.0211219
9000,2.5e-6,0.0211567
9000,2.5e-6,0.0211094
9000,2.9e-6,0.0214385
9000,2.6e-6,0.0275714
9000,3.3e-6,0.021665
9000,2.8e-6,0.0215219
10000,2.6e-6,0.026925
10000,2.8e-6,0.0258467
10000,2.6e-6,0.0257745
10000,3.0e-6,0.0258027
10000,2.8e-6,0.0260213
10000,2.3e-6,0.0270223
10000,2.6e-6,0.0343651
10000,2.7e-6,0.0259197
10000,2.6e-6,0.0326459
10000,3.2e-6,0.0260863
