Size,Type,time
1000,mxv,0.0004943
1000,mxv,0.0004291
1000,mxv,0.0004202
1000,mxv,0.0004312
1000,mxv,0.0004516
1000,mxv,0.0004642
1000,mxv,0.0004519
1000,mxv,0.0004608
1000,mxv,0.000463
1000,mxv,0.0004519
2000,mxv,0.0012242
2000,mxv,0.0013527
2000,mxv,0.0011579
2000,mxv,0.001195
2000,mxv,0.0012372
2000,mxv,0.0011946
2000,mxv,0.0024681
2000,mxv,0.001237
2000,mxv,0.0012136
2000,mxv,0.0011836
3000,mxv,0.0025148
3000,mxv,0.0024707
3000,mxv,0.0026573
3000,mxv,0.0030034
3000,mxv,0.0025593
3000,mxv,0.0024394
3000,mxv,0.0040406
3000,mxv,0.002582
3000,mxv,0.0038194
3000,mxv,0.0029118
4000,mxv,0.0045277
4000,mxv,0.0044155
4000,mxv,0.0042317
4000,mxv,0.0042703
4000,mxv,0.0040896
4000,mxv,0.0051546
4000,mxv,0.0045335
4000,mxv,0.0042624
4000,mxv,0.0040651
4000,mxv,0.0044041
5000,mxv,0.0064309
5000,mxv,0.007102
5000,mxv,0.0064559
5000,mxv,0.0072047
5000,mxv,0.0064598
5000,mxv,0.0063407
5000,mxv,0.0074392
5000,mxv,0.0063776
5000,mxv,0.0066354
5000,mxv,0.0063191
6000,mxv,0.0100611
6000,mxv,0.0092006
6000,mxv,0.0092371
6000,mxv,0.0091136
6000,mxv,0.009021
6000,mxv,0.0099438
6000,mxv,0.0090569
6000,mxv,0.0097671
6000,mxv,0.0097447
6000,mxv,0.0094035
7000,mxv,0.0146231
7000,mxv,0.0142125
7000,mxv,0.0162415
7000,mxv,0.0174512
7000,mxv,0.0146546
7000,mxv,0.0133396
7000,mxv,0.0129729
7000,mxv,0.0125239
7000,mxv,0.0137223
7000,mxv,0.0141435
8000,mxv,0.0156848
8000,mxv,0.0180005
8000,mxv,0.0159847
8000,mxv,0.0156166
8000,mxv,0.0169578
8000,mxv,0.015903
8000,mxv,0.0170616
8000,mxv,0.0170517
8000,mxv,0.0175964
8000,mxv,0.0164269
9000,mxv,0.0213365
9000,mxv,0.0220468
9000,mxv,0.0247759
9000,mxv,0.0222001
9000,mxv,0.0226885
9000,mxv,0.0231862
9000,mxv,0.0232866
9000,mxv,0.0213421
9000,mxv,0.0234791
9000,mxv,0.023382
10000,mxv,0.0262817
10000,mxv,0.0272379
10000,mxv,0.0324613
10000,mxv,0.0269196
10000,mxv,0.028528
10000,mxv,0.0281959
10000,mxv,0.0294958
10000,mxv,0.0279845
10000,mxv,0.0282608
10000,mxv,0.02666
100000,vxv,0.0002124
100000,vxv,0.0002542
100000,vxv,0.0002444
100000,vxv,0.0001966
100000,vxv,0.0001864
100000,vxv,0.0001089
100000,vxv,0.0002335
100000,vxv,0.0001747
100000,vxv,0.0001236
100000,vxv,0.0002532
200000,vxv,0.0002113
200000,vxv,0.0001922
200000,vxv,0.000215
200000,vxv,0.0002201
200000,vxv,0.0002096
200000,vxv,0.0002198
200000,vxv,0.0002145
200000,vxv,0.0002549
200000,vxv,0.0002027
200000,vxv,0.0001968
300000,vxv,0.0003087
300000,vxv,0.0003031
300000,vxv,0.0002757
300000,vxv,0.0002702
300000,vxv,0.0003052
300000,vxv,0.0003275
300000,vxv,0.0002626
300000,vxv,0.0002556
300000,vxv,0.0002616
300000,vxv,0.0002424
400000,vxv,0.0003285
400000,vxv,0.0003627
400000,vxv,0.0003115
400000,vxv,0.0003118
400000,vxv,0.0003265
400000,vxv,0.0003411
400000,vxv,0.0003394
400000,vxv,0.0003189
400000,vxv,0.000341
400000,vxv,0.0003244
500000,vxv,0.0004218
500000,vxv,0.00037
500000,vxv,0.00042
500000,vxv,0.0003979
500000,vxv,0.0004833
500000,vxv,0.0004129
500000,vxv,0.000396
500000,vxv,0.0004163
500000,vxv,0.0003737
500000,vxv,0.00039
600000,vxv,0.0004583
600000,vxv,0.0004584
600000,vxv,0.0004565
600000,vxv,0.0004533
600000,vxv,0.0004575
600000,vxv,0.000474
600000,vxv,0.0005041
600000,vxv,0.0004155
600000,vxv,0.0004348
600000,vxv,0.0004426
700000,vxv,0.0004508
700000,vxv,0.0004424
700000,vxv,0.0004019
700000,vxv,0.0004227
700000,vxv,0.00044
700000,vxv,0.0004751
700000,vxv,0.0004526
700000,vxv,0.0004587
700000,vxv,0.0004635
700000,vxv,0.0006065
800000,vxv,0.0005681
800000,vxv,0.0005298
800000,vxv,0.0005747
800000,vxv,0.0005888
800000,vxv,0.0005695
800000,vxv,0.0005604
800000,vxv,0.0005829
800000,vxv,0.0005711
800000,vxv,0.0005664
800000,vxv,0.0005811
900000,vxv,0.0006141
900000,vxv,0.0005968
900000,vxv,0.0006452
900000,vxv,0.0005996
900000,vxv,0.0005888
900000,vxv,0.0006131
900000,vxv,0.0006205
900000,vxv,0.0005712
900000,vxv,0.0006088
900000,vxv,0.0006129
1000000,vxv,0.0006383
1000000,vxv,0.0006525
1000000,vxv,0.0006606
1000000,vxv,0.0006036
1000000,vxv,0.0006226
1000000,vxv,0.0006027
1000000,vxv,0.000616
1000000,vxv,0.0006027
1000000,vxv,0.0006034
1000000,vxv,0.0005991
