Size,Type,Time
0,naive,0.0020433
0,better,0.0020433
0,blas,0.0001809
0,naive,0.0020846
0,better,0.0020846
0,blas,0.0001621
0,naive,0.0023475
0,better,0.0023475
0,blas,0.0001461
0,naive,0.0020659
0,better,0.0020659
0,blas,0.0001667
0,naive,0.0020776
0,better,0.0020776
0,blas,9.79e-5
0,naive,0.0020445
0,better,0.0020445
0,blas,9.21e-5
0,naive,0.0061072
0,better,0.0061072
0,blas,0.0001802
0,naive,0.0020336
0,better,0.0020336
0,blas,0.0001621
0,naive,0.0020581
0,better,0.0020581
0,blas,0.0001422
0,naive,0.0020438
0,better,0.0020438
0,blas,0.0001872
50,naive,0.007195
50,better,0.007195
50,blas,0.0002218
50,naive,0.0070889
50,better,0.0070889
50,blas,0.0002564
50,naive,0.0072184
50,better,0.0072184
50,blas,0.0002462
50,naive,0.0070362
50,better,0.0070362
50,blas,0.0002482
50,naive,0.0071747
50,better,0.0071747
50,blas,0.0002658
50,naive,0.0071186
50,better,0.0071186
50,blas,0.0002399
50,naive,0.0070331
50,better,0.0070331
50,blas,0.0002439
50,naive,0.0071728
50,better,0.0071728
50,blas,0.000257
50,naive,0.0070618
50,better,0.0070618
50,blas,0.0002536
50,naive,0.0072312
50,better,0.0072312
50,blas,0.0002562
100,naive,0.0170551
100,better,0.0170551
100,blas,0.0003031
100,naive,0.0171484
100,better,0.0171484
100,blas,0.0002932
100,naive,0.017131
100,better,0.017131
100,blas,0.0003023
100,naive,0.0171938
100,better,0.0171938
100,blas,0.000316
100,naive,0.0170064
100,better,0.0170064
100,blas,0.0003281
100,naive,0.0169605
100,better,0.0169605
100,blas,0.0004671
100,naive,0.0169107
100,better,0.0169107
100,blas,0.0003316
100,naive,0.0169479
100,better,0.0169479
100,blas,0.0002979
100,naive,0.0169687
100,better,0.0169687
100,blas,0.0002981
100,naive,0.0168922
100,better,0.0168922
100,blas,0.0003376
150,naive,0.0333578
150,better,0.0333578
150,blas,0.0005763
150,naive,0.0345149
150,better,0.0345149
150,blas,0.0004553
150,naive,0.0334356
150,better,0.0334356
150,blas,0.0004476
150,naive,0.033397
150,better,0.033397
150,blas,0.0005225
150,naive,0.0333948
150,better,0.0333948
150,blas,0.0004982
150,naive,0.0333805
150,better,0.0333805
150,blas,0.000467
150,naive,0.0337057
150,better,0.0337057
150,blas,0.0004392
150,naive,0.0335933
150,better,0.0335933
150,blas,0.0004696
150,naive,0.0334356
150,better,0.0334356
150,blas,0.0004358
150,naive,0.0344987
150,better,0.0344987
150,blas,0.0006133
200,naive,0.0575601
200,better,0.0575601
200,blas,0.0006905
200,naive,0.0613866
200,better,0.0613866
200,blas,0.0010136
200,naive,0.0573332
200,better,0.0573332
200,blas,0.0008576
200,naive,0.0574341
200,better,0.0574341
200,blas,0.000947
200,naive,0.0585257
200,better,0.0585257
200,blas,0.000748
200,naive,0.057411
200,better,0.057411
200,blas,0.0007142
200,naive,0.0625867
200,better,0.0625867
200,blas,0.002017
200,naive,0.0662629
200,better,0.0662629
200,blas,0.002118
200,naive,0.0594653
200,better,0.0594653
200,blas,0.0021134
200,naive,0.0595064
200,better,0.0595064
200,blas,0.0009995
350,naive,0.0952316
350,better,0.025231599999999993
350,blas,0.0019791
350,naive,0.0966751
350,better,0.026675099999999993
350,blas,0.0018514
350,naive,0.0968185
350,better,0.026818499999999995
350,blas,0.0017449
350,naive,0.0956999
350,better,0.0956999
350,blas,0.0022753
350,naive,0.0935613
350,better,0.0935613
350,blas,0.0019649
350,naive,0.0929233
350,better,0.0929233
350,blas,0.0027198
350,naive,0.0957644
350,better,0.025764399999999993
350,blas,0.0023451
350,naive,0.1063896
350,better,0.1063896
350,blas,0.004804
350,naive,0.092341
350,better,0.022341
350,blas,0.0009305
350,naive,0.091826
350,better,0.091826
350,blas,0.0010679
250,naive,0.1388254
250,better,0.06882539999999998
250,blas,0.0014565
250,naive,0.1382502
250,better,0.1382502
250,blas,0.0013802
250,naive,0.1386675
250,better,0.1386675
250,blas,0.0012361
250,naive,0.1392975
250,better,0.1392975
250,blas,0.001541
250,naive,0.1385572
250,better,0.06855719999999998
250,blas,0.0016804
250,naive,0.1392097
250,better,0.1392097
250,blas,0.0010154
250,naive,0.1389395
250,better,0.1389395
250,blas,0.0011487
250,naive,0.1398913
250,better,0.1398913
250,blas,0.001203
250,naive,0.1425738
250,better,0.1425738
250,blas,0.0010527
250,naive,0.1390173
250,better,0.1390173
250,blas,0.0016383
300,naive,0.2057415
300,better,0.1357415
300,blas,0.0021938
300,naive,0.2035019
300,better,0.2035019
300,blas,0.0015911
300,naive,0.1981654
300,better,0.1981654
300,blas,0.0018371
300,naive,0.2021204
300,better,0.1321204
300,blas,0.0016745
300,naive,0.2032885
300,better,0.2032885
300,blas,0.0023199
300,naive,0.2076348
300,better,0.2076348
300,blas,0.001629
300,naive,0.2052088
300,better,0.2052088
300,blas,0.0016163
300,naive,0.2010118
300,better,0.2010118
300,blas,0.0013529
300,naive,0.1994932
300,better,0.1994932
300,blas,0.0013629
300,naive,0.1983622
300,better,0.12836219999999998
300,blas,0.0013794
350,naive,0.2758021
350,better,0.2758021
350,blas,0.0114098
350,naive,0.2806327
350,better,0.2806327
350,blas,0.0022497
350,naive,0.2846972
350,better,0.2846972
350,blas,0.0024663
350,naive,0.2914679
350,better,0.2214679
350,blas,0.0018626
350,naive,0.2781187
350,better,0.2081187
350,blas,0.0031072
350,naive,0.2768321
350,better,0.2768321
350,blas,0.0019603
350,naive,0.281748
350,better,0.281748
350,blas,0.0032204
350,naive,0.2842617
350,better,0.2142617
350,blas,0.0023731
350,naive,0.278749
350,better,0.278749
350,blas,0.001947
350,naive,0.2762537
350,better,0.20625369999999998
350,blas,0.0024682
